"Planet","Grid","CurrentSector","WookieepediaTitle","WookieepediaSector","MatchType","SourceUrl"
"Bardotta","J13","Shasos sector","Bardotta/Legends","Shasos sector","Exact title","https://starwars.fandom.com/wiki/Bardotta%2FLegends"
"Barenth","K8","Drannik","Barenth","Drannik sector","Exact title","https://starwars.fandom.com/wiki/Barenth"
"Barison","Q6","Gordian Reach","Barison","Gordian Reach","Exact title","https://starwars.fandom.com/wiki/Barison"
"Barkhesh","K19","Seitia","Barkhesh","Seitia sector","Exact title","https://starwars.fandom.com/wiki/Barkhesh"
"Barlok","L8","Marcol","Barlok","Marcol sector","Exact title","https://starwars.fandom.com/wiki/Barlok"
"Baroli","N14","Baroli","Baroli","Baroli sector","Exact title","https://starwars.fandom.com/wiki/Baroli"
"Baros","U7","Dominus","Baros","Dominus sector","Exact title","https://starwars.fandom.com/wiki/Baros"
"Barseg","S6","Allied Tion","Barseg","Allied Tion sector","Exact title","https://starwars.fandom.com/wiki/Barseg"
"Bastion","K3","Braxant","Bastion","Braxant sector","Exact title","https://starwars.fandom.com/wiki/Bastion"
"Bastooine","I17","Graador","Bastooine system","Graador sector","System or continuity variant","https://starwars.fandom.com/wiki/Bastooine_system"
"Bator Bai","L18","Senex","Bator Bai","Senex-Juvex","Exact title","https://starwars.fandom.com/wiki/Bator_Bai"
"Baummu","U8","Shadola","Baummu","Shadola sector","Exact title","https://starwars.fandom.com/wiki/Baummu"
"Bavva","K18","Anoat","Bavva","Javin sector","Exact title","https://starwars.fandom.com/wiki/Bavva"
"Begeren","R4","Sith Worlds","Begeren","Esstran sector","Exact title","https://starwars.fandom.com/wiki/Begeren"
"Belasco","O11","Belasco","Belasco/Legends","Belasco sector","Exact title","https://starwars.fandom.com/wiki/Belasco%2FLegends"
"Belassar","J8","Sarla","Belassar system","Sarla sector","System or continuity variant","https://starwars.fandom.com/wiki/Belassar_system"
"Belderone","R6","Belderone","Belderone","Belderone sector","Exact title","https://starwars.fandom.com/wiki/Belderone"
"Belkadan","L1","Dalonbian","Belkadan","Dalonbian sector","Exact title","https://starwars.fandom.com/wiki/Belkadan"
"Belnar","M9","Belnar sector","Belnar/Legends","Belnar sector","Exact title","https://starwars.fandom.com/wiki/Belnar%2FLegends"
"Belsavis","L18","Bozhnee","Belsavis","Bozhnee sector","Exact title","https://starwars.fandom.com/wiki/Belsavis"
"Beltrix III","M14","Six Local Systems","Beltrix III","Six Local Systems","Exact title","https://starwars.fandom.com/wiki/Beltrix_III"
"Bendeluum","K18","Anoat","Bendeluum","Javin sector","Exact title","https://starwars.fandom.com/wiki/Bendeluum"
"Berchest","N8","Anthos","Berchest","Anthos sector","Exact title","https://starwars.fandom.com/wiki/Berchest"
"Beris","Q13","Fel Hu","Beris","Fei Hu sector","Exact title","https://starwars.fandom.com/wiki/Beris"
"Berrol's Donn","K19","Kriz","Berrol's Donn/Legends","Kriz sector","Exact title","https://starwars.fandom.com/wiki/Berrol's_Donn%2FLegends"
"Besberra","L20","Subterrel","Besberra","Cegul sector","Exact title","https://starwars.fandom.com/wiki/Besberra"
"Bescane","K3","Obtrexta","Bescane/Legends","Obtrexta sector","Exact title","https://starwars.fandom.com/wiki/Bescane%2FLegends"
"Bespin","K18","Anoat","Bespin","Anoat sector","Exact title","https://starwars.fandom.com/wiki/Bespin"
"Betha","P4","Corva","Betha system","Corva sector","System or continuity variant","https://starwars.fandom.com/wiki/Betha_system"
"Betshish","P5","Gordian Reach","Betshish","Gordian Reach","Exact title","https://starwars.fandom.com/wiki/Betshish"
"Bettel","K18","Javin","Bettel system","Javin sector","System or continuity variant","https://starwars.fandom.com/wiki/Bettel_system"
"Bextar","J4","Velcar","Bextar","Velcar sector","Exact title","https://starwars.fandom.com/wiki/Bextar"
"Bhargebba","R4","Sith Worlds","Bhargebba system","Esstran sector","System or continuity variant","https://starwars.fandom.com/wiki/Bhargebba_system"
"Bheriz","U10","Bheriz","Bheriz","Bheriz sector","Exact title","https://starwars.fandom.com/wiki/Bheriz"
"Biewa","S4","Corporate Sector","Biewa","Corporate Sector","Exact title","https://starwars.fandom.com/wiki/Biewa"
"Biitu","K5","Cassander","Biitu","Cassander sector Tadrin sector","Exact title","https://starwars.fandom.com/wiki/Biitu"
"Bimin Three","N15","Majoor","Bimin Three system","Majoor sector","System or continuity variant","https://starwars.fandom.com/wiki/Bimin_Three_system"
"Bimmiel","N4","Kanz","Bimmiel/Legends","Kanz sector","Exact title","https://starwars.fandom.com/wiki/Bimmiel%2FLegends"
"Bimmisaari","R9","Halla","Bimmisaari","Halla sector","Exact title","https://starwars.fandom.com/wiki/Bimmisaari"
"Birgis","M3","Dalonbian","Birgis","Dalonbian sector","Exact title","https://starwars.fandom.com/wiki/Birgis"
"Bisellia","K4","Clacis","Bisellia system","Clacis sector","System or continuity variant","https://starwars.fandom.com/wiki/Bisellia_system"
"Bissillirus","Q10","Trax","Bissillirus","Trax sector","Exact title","https://starwars.fandom.com/wiki/Bissillirus"
"Blenjeel","Q15","Dufilvian","Blenjeel","Dufilvian sector","Exact title","https://starwars.fandom.com/wiki/Blenjeel"
"Blimph","Q10","Kastolar","Blimph","Kastolar sector","Exact title","https://starwars.fandom.com/wiki/Blimph"
"Bnar","K3","Braxant","Bnar system","Braxant sector","System or continuity variant","https://starwars.fandom.com/wiki/Bnar_system"
"Bogo Rai","E8","Avidich Sector","Bogo Rai system/Legends","Chiss Space","System or continuity variant","https://starwars.fandom.com/wiki/Bogo_Rai_system%2FLegends"
"Bomis Koori","K16","Wornal","Bomis Koori system","Wornal sector","System or continuity variant","https://starwars.fandom.com/wiki/Bomis_Koori_system"
"Bonadan","S3","Corporate Sector","Bonadan","Corporate Sector","Exact title","https://starwars.fandom.com/wiki/Bonadan"
"Boonta","S8","Suolriep","Boonta","Suolriep sector","Exact title","https://starwars.fandom.com/wiki/Boonta"
"Boordii","N7","Sumitra","Boordii","Sumitra sector","Exact title","https://starwars.fandom.com/wiki/Boordii"
"Bootana Shagplan","S10","Hutt Space","Bootana Shagplan","Bootana Hutta","Exact title","https://starwars.fandom.com/wiki/Bootana_Shagplan"
"Boranda","R14","Manda","Boranda","Manda sector","Exact title","https://starwars.fandom.com/wiki/Boranda"
"Borgo Prime","M6","Oricho","Borgo Prime","Oricho sector","Exact title","https://starwars.fandom.com/wiki/Borgo_Prime"
"Borkyne","L15","Bes Ber Bikade","Borkyne","Bes Ber Bikade sector","Exact title","https://starwars.fandom.com/wiki/Borkyne"
"Boro-borosa","L18","Senex","Boro-borosa system","Senex sector","System or continuity variant","https://starwars.fandom.com/wiki/Boro-borosa_system"
"Borosk","K5","Prefsbelt","Borosk/Legends","Prefsbelt sector","Exact title","https://starwars.fandom.com/wiki/Borosk%2FLegends"
"Bortras","M18","Brema","Bortras","Brema sector","Exact title","https://starwars.fandom.com/wiki/Bortras"
"Bosph","Q3","Bosph","Bosph","Bosph sector","Exact title","https://starwars.fandom.com/wiki/Bosph"
"Bosthirda","R5","Sith Worlds","Bosthirda","Esstran sector","Exact title","https://starwars.fandom.com/wiki/Bosthirda"
"Botajef","O6","Belsmuth","Botajef","Belsmuth sector","Exact title","https://starwars.fandom.com/wiki/Botajef"
"Bothawui","R14","Bothan Space","Bothawui","Bothan Space","Exact title","https://starwars.fandom.com/wiki/Bothawui"
"Botor","K12","Botor Enclave","Botor","Botor Enclave","Exact title","https://starwars.fandom.com/wiki/Botor"
"Bovo Yagen","O13","Kailion","Bovo Yagen system","Kailion sector","System or continuity variant","https://starwars.fandom.com/wiki/Bovo_Yagen_system"
"Boz Pity","S9","Halla","Boz Pity","Halla sector","Exact title","https://starwars.fandom.com/wiki/Boz_Pity"
"Bpfassh","M19","Sluis","Bpfassh","Sluis sector","Exact title","https://starwars.fandom.com/wiki/Bpfassh"
"Brentaal","L9","Alsakan Sector","Brentaal system","Bormea sector","System or continuity variant","https://starwars.fandom.com/wiki/Brentaal_system"
"Bresnia","Q14","Tandon","Bresnia","Tandon sector","Exact title","https://starwars.fandom.com/wiki/Bresnia"
"Brevost","O15","Brevost","Brevost","Brevost sector","Exact title","https://starwars.fandom.com/wiki/Brevost"
"Brigia","T6","Tion Hegemony","Brigia","Tion Hegemony","Exact title","https://starwars.fandom.com/wiki/Brigia"
"Brochiib","S3","Trianii","Brochiib","Trianii Space","Exact title","https://starwars.fandom.com/wiki/Brochiib"
"Brodo Asogi","J4","Perinn","Brodo Asogi","Perinn sector","Exact title","https://starwars.fandom.com/wiki/Brodo_Asogi"
"Bronsoon","P6","Gordian Reach","Bronsoon","Gordian Reach","Exact title","https://starwars.fandom.com/wiki/Bronsoon"
"Brosi","S3","Corporate Sector","Brosi","Corporate Sector","Exact title","https://starwars.fandom.com/wiki/Brosi"
"Bryexx","M13","Varvenna Sector","Bryexx","Varvenna sector","Exact title","https://starwars.fandom.com/wiki/Bryexx"
"Bryx","R8","Bryx","Bryx","Bryx sector","Exact title","https://starwars.fandom.com/wiki/Bryx"
"Bseto","P7","Msst","Bseto","Msst sector","Exact title","https://starwars.fandom.com/wiki/Bseto"
"Buchich","U6","Calamari","Buchich","Calamari sector","Exact title","https://starwars.fandom.com/wiki/Buchich"
"Budpock","R7","Meridian","Budpock","Meridian sector","Exact title","https://starwars.fandom.com/wiki/Budpock"
"Bunduki","H16","Pacanth Reach","Bunduki","Pacanth Reach","Exact title","https://starwars.fandom.com/wiki/Bunduki"
"Burnin Konn","K18","Anoat","Burnin Konn","Javin sector","Exact title","https://starwars.fandom.com/wiki/Burnin_Konn"
"Burska","I7","Freestanding Subsectors","Burska","Freestanding subsectors","Exact title","https://starwars.fandom.com/wiki/Burska"
"C-Foroon","R16","Arkanis","C-Foroon","Arkanis sector","Exact title","https://starwars.fandom.com/wiki/C-Foroon"
"Cademimu","M6","Cademimu","Cademimu system","Cademimu sector","System or continuity variant","https://starwars.fandom.com/wiki/Cademimu_system"
"Cadinth","S6","Allied Tion","Cadinth","Allied Tion sector","Exact title","https://starwars.fandom.com/wiki/Cadinth"
"Cadma","T8","Centrality","Cadma system","Centrality","System or continuity variant","https://starwars.fandom.com/wiki/Cadma_system"
"Cadomai","R3","Aparo","Cadomai system","Aparo sector (Catarlo)","System or continuity variant","https://starwars.fandom.com/wiki/Cadomai_system"
"Cal-Seti","K10","Torranix sector","Cal-Seti/Legends","Torranix sector","Exact title","https://starwars.fandom.com/wiki/Cal-Seti%2FLegends"
"Calfa","O9","Hapes Cluster","Calfa system","Hapes Cluster","System or continuity variant","https://starwars.fandom.com/wiki/Calfa_system"
"Calonica","K16","Vensensor","Calonica","Vensensor sector","Exact title","https://starwars.fandom.com/wiki/Calonica"
"Caltinia","L17","Senex","Caltinia","Senex-Juvex","Exact title","https://starwars.fandom.com/wiki/Caltinia"
"Caluula","T6","Tion Hegemony","Caluula/Legends","Tion Hegemony","Exact title","https://starwars.fandom.com/wiki/Caluula%2FLegends"
"Camden","O5","Morshdine","Camden","Morshdine sector","Exact title","https://starwars.fandom.com/wiki/Camden"
"Cantonica","S4","Corporate Sector","Cantonica","Corporate Sector","Exact title","https://starwars.fandom.com/wiki/Cantonica"
"Cantras Gola","J4","Perinn","Cantras Gola","Perinn sector","Exact title","https://starwars.fandom.com/wiki/Cantras_Gola"
"Cantros","J20","Saijo","Cantros system","Saijo sector","System or continuity variant","https://starwars.fandom.com/wiki/Cantros_system"
"Capella","Q6","Gordian Reach","Capella","Gordian Reach","Exact title","https://starwars.fandom.com/wiki/Capella"
"Capza","K4","Velcar","Capza","Velcar sector","Exact title","https://starwars.fandom.com/wiki/Capza"
"Carcel","O8","Locris","Carcel","Locris sector","Exact title","https://starwars.fandom.com/wiki/Carcel"
"Cargamalis","K18","Bruanii","Cargamalis system","Bruanii sector","System or continuity variant","https://starwars.fandom.com/wiki/Cargamalis_system"
"Carlac","K5","Prefsbelt","Carlac","Prefsbelt sector","Exact title","https://starwars.fandom.com/wiki/Carlac"
"Carlania","O9","Hapes Cluster","Carlania system","Hapes Cluster","System or continuity variant","https://starwars.fandom.com/wiki/Carlania_system"
"Carosi","P4","Nembus","Carosi","Nembus sector","Exact title","https://starwars.fandom.com/wiki/Carosi"
"Carsanza","L17","Juvex","Carsanza","Senex-Juvex","Exact title","https://starwars.fandom.com/wiki/Carsanza"
"Cartao","O8","Prackla","Cartao","Prackla sector","Exact title","https://starwars.fandom.com/wiki/Cartao"
"Casfield","Q7","Tennuutta","Casfield system","Tennuutta sector","System or continuity variant","https://starwars.fandom.com/wiki/Casfield_system"
