"CurrentSector","RecordCount","ExamplePlanets","Reason"
"Koradin","6","Abridon; Coveway; Keskin; Lipsec; Sump; Virgillia","No matching Wookieepedia Sector stubs category title."
"Krenher sector","2","Hyabb; Voon","No matching Wookieepedia Sector stubs category title."
"Ktilac Regions","1","Ktil","No matching Wookieepedia Sector stubs category title."
"Kuluur","1","Kelada","No matching Wookieepedia Sector stubs category title."
"Lamaredd Sector","3","Lamaredd; Naos; Velabri","No matching Wookieepedia Sector stubs category title."
"Lambda","6","Ando; Andosha; Argus; Mon Gazza; Rintonne; Zolan","No matching Wookieepedia Sector stubs category title."
"Landtillian","1","Dulathia","No matching Wookieepedia Sector stubs category title."
"Lanic Space","2","Dractu; Lannik","No matching Wookieepedia Sector stubs category title."
"Lasan Sector","1","Lasan","No matching Wookieepedia Sector stubs category title."
"Lostar","6","Adin; Draria; Jazbina; Kidriff; Nessem; Teya IV","No matching Wookieepedia Sector stubs category title."
"Maerdocia","5","Chokan; Chroma Zed; Deneba; Shador; Thokosia","No matching Wookieepedia Sector stubs category title."
"Majoor","5","Bimin Three; M'haeli; Majoor; Ragith; Ramordia","No matching Wookieepedia Sector stubs category title."
"Malagarr Sector","1","Malagarr","No matching Wookieepedia Sector stubs category title."
"Manda","6","Boranda; Dennaskar; Holess; Manda; Thoran; Zygia","No matching Wookieepedia Sector stubs category title."
"Mandress","1","Mondress","No matching Wookieepedia Sector stubs category title."
"Marcol","1","Barlok","No matching Wookieepedia Sector stubs category title."
"Mbandamonte","2","Aguarl; Cerenia","No matching Wookieepedia Sector stubs category title."
"Meerian","3","Bandomeer; Gargon; Vanquo","No matching Wookieepedia Sector stubs category title."
"Meram","1","Thalassia","No matching Wookieepedia Sector stubs category title."
"Merel","1","Nedij","No matching Wookieepedia Sector stubs category title."
"Meridian","5","Budpock; Cybloc; Nam Chorios; Nim Drovis; Sorjus","No matching Wookieepedia Sector stubs category title."
"Minos","4","Adarlon; Eliad; Karideph; Pergitor","No matching Wookieepedia Sector stubs category title."
"Mintitian Grant","1","Montitia","No matching Wookieepedia Sector stubs category title."
"Morshdine","4","Camden; Edusa; Tangrene; Vandyne","No matching Wookieepedia Sector stubs category title."
"Mortis Sector","2","Mortis; Zeta","No matching Wookieepedia Sector stubs category title."
"Needan Sector","1","Needan","No matching Wookieepedia Sector stubs category title."
"Nilgaard","4","Emmer; Makem Te; Quermia; Toola","No matching Wookieepedia Sector stubs category title."
"Nirauan Sector","1","Nirauan","No matching Wookieepedia Sector stubs category title."
"Nojic","2","Valgauth; Vena","No matching Wookieepedia Sector stubs category title."
"Nuon e Safyd","1","T'surr","No matching Wookieepedia Sector stubs category title."
"Osadia Sector","1","Osadia","No matching Wookieepedia Sector stubs category title."
"Parmel","1","Vohai","No matching Wookieepedia Sector stubs category title."
"Periphery","5","Af'El; Lant; Sriluur; Vaathkree; Yoribuunt","No matching Wookieepedia Sector stubs category title."
"Pesfavri Sector","1","Pesfavri","No matching Wookieepedia Sector stubs category title."
"Ploo","2","Ploo; Serroco","No matching Wookieepedia Sector stubs category title."
"Qiilura","1","Yout","No matching Wookieepedia Sector stubs category title."
"Rakata Prime Sector","1","Rakata Prime","No matching Wookieepedia Sector stubs category title."
"Red Nebula Sector","1","Red Nebula","No matching Wookieepedia Sector stubs category title."
"Selvaris Sector","1","Selvaris","No matching Wookieepedia Sector stubs category title."
"Shelsha sector","1","Shelkonwa","No matching Wookieepedia Sector stubs category title."
"Shelsha Sector","1","Teardrop","No matching Wookieepedia Sector stubs category title."
"Shiva Sector","1","Shiva","No matching Wookieepedia Sector stubs category title."
"Shola Sector","1","Smarteel","No matching Wookieepedia Sector stubs category title."
"Silken Sector","1","Silken","No matching Wookieepedia Sector stubs category title."
"Six Local Systems","1","Beltrix III","No matching Wookieepedia Sector stubs category title."
"Skine","1","Skynara","No matching Wookieepedia Sector stubs category title."
"Stensen","1","Trenwyth","No matching Wookieepedia Sector stubs category title."
"Suolriep","3","Boonta; Komnor; Saleucami","No matching Wookieepedia Sector stubs category title."
"Svetta","2","Excarga; Kowak","No matching Wookieepedia Sector stubs category title."
"Tagge Space","1","Tepasi","No matching Wookieepedia Sector stubs category title."
"Tamarin","3","Dravian Station; Kirdo; Sevarcos","No matching Wookieepedia Sector stubs category title."
"Tandon","2","Bresnia; Spirador","No matching Wookieepedia Sector stubs category title."
"Tarc domain","1","Hjaff","No matching Wookieepedia Sector stubs category title."
"The Redoubt Sector","1","The Redoubt","No matching Wookieepedia Sector stubs category title."
"The Slice","1","Mattri","No matching Wookieepedia Sector stubs category title."
"Thesme","3","Hijado; Junction; Thesme","No matching Wookieepedia Sector stubs category title."
"Thursa","1","Concord Dawn","No matching Wookieepedia Sector stubs category title."
"Torranix sector","3","Cal-Seti; Fresia; Worru'du","No matching Wookieepedia Sector stubs category title."
"Torranix Sector","1","Galand","No matching Wookieepedia Sector stubs category title."
"Trans'Vulta","5","Geris; Null; Skorrupon; Surcaris; Vulta","No matching Wookieepedia Sector stubs category title."
"Trianii","4","Brochiib; Ekibo; Pypin; Trian","No matching Wookieepedia Sector stubs category title."
"Tyus","2","Nuralee; Tyus Cluster","No matching Wookieepedia Sector stubs category title."
"Urce","1","Urce","No matching Wookieepedia Sector stubs category title."
"Velcar","6","Bextar; Capza; Churruma; Endex; Entralla; Ryloon","No matching Wookieepedia Sector stubs category title."
"Vorc","2","Station 88; Vicondor","No matching Wookieepedia Sector stubs category title."
"Vorzyd","2","Columex; Vorzyd","No matching Wookieepedia Sector stubs category title."
"Wazta","4","Koda Station; Lotho Minor; Ryoone; Vassek","No matching Wookieepedia Sector stubs category title."
"Woostri","2","Daemen; Woostri","No matching Wookieepedia Sector stubs category title."
"Yalara Sector","1","Yalara","No matching Wookieepedia Sector stubs category title."
"Yarith","8","Anantapar; Indellian; Isde Naha; Lutrillia; Orn Kios; Shuldene; Shuxl; Togominda","No matching Wookieepedia Sector stubs category title."
"Zakuul Sector","1","Zakuul","No matching Wookieepedia Sector stubs category title."
"Zonama Sekot Sector","1","Zonama Sekot","No matching Wookieepedia Sector stubs category title."
