"Planet","Grid","CurrentSector","WookieepediaStubTitle","MatchType","SourceUrl"
"Carcel","O8","Locris","Locris sector","Sector-normalized title","https://starwars.fandom.com/wiki/Locris_sector"
"Carida","M9","Adari Sector","Adari sector/Legends","Exact title","https://starwars.fandom.com/wiki/Adari_sector%2FLegends"
"Carlac","K5","Prefsbelt","Prefsbelt sector","Sector-normalized title","https://starwars.fandom.com/wiki/Prefsbelt_sector"
"Carosi","P4","Nembus","Nembus sector","Sector-normalized title","https://starwars.fandom.com/wiki/Nembus_sector"
"Carsanza","L17","Juvex","Juvex sector","Sector-normalized title","https://starwars.fandom.com/wiki/Juvex_sector"
"Cartao","O8","Prackla","Prackla sector","Sector-normalized title","https://starwars.fandom.com/wiki/Prackla_sector"
"Casfield","Q7","Tennuutta","Tennuutta sector","Sector-normalized title","https://starwars.fandom.com/wiki/Tennuutta_sector"
"Cassander","K5","Cassander","Cassander subsector","Sector-normalized title","https://starwars.fandom.com/wiki/Cassander_subsector"
"Cathar","N6","Quelii","Quelii sector","Sector-normalized title","https://starwars.fandom.com/wiki/Quelii_sector"
"Cato Neimoidia","N11","Quellor sector","Quellor sector","Exact title","https://starwars.fandom.com/wiki/Quellor_sector"
"Celanon","O6","D'Astan","D'Astan sector","Sector-normalized title","https://starwars.fandom.com/wiki/D'Astan_sector"
"Celegia","O10","Noori","Noori sector/Legends","Sector-normalized title","https://starwars.fandom.com/wiki/Noori_sector%2FLegends"
"Centares","R7","Maldrood","Maldrood sector","Sector-normalized title","https://starwars.fandom.com/wiki/Maldrood_sector"
"Cerea","I16","Semagi","Semagi sector/Legends","Sector-normalized title","https://starwars.fandom.com/wiki/Semagi_sector%2FLegends"
"Ch'hodos","R4","Sith Worlds","Sith Worlds","Exact title","https://starwars.fandom.com/wiki/Sith_Worlds"
"Chad","R7","Jospro","Jospro sector","Sector-normalized title","https://starwars.fandom.com/wiki/Jospro_sector"
"Chalcedon","I16","Tashtor","Tashtor sector","Sector-normalized title","https://starwars.fandom.com/wiki/Tashtor_sector"
"Chamble","Q10","Mytaranor","Mytaranor sector","Sector-normalized title","https://starwars.fandom.com/wiki/Mytaranor_sector"
"Chandaar","S6","Cronese Mandate","Cronese Mandate","Exact title","https://starwars.fandom.com/wiki/Cronese_Mandate"
"Chandrila","L9","Bormea sector","Bormea sector","Exact title","https://starwars.fandom.com/wiki/Bormea_sector"
"Chanosant","O11","Harron","Harron sector","Sector-normalized title","https://starwars.fandom.com/wiki/Harron_sector"
"Charra","P14","Charra","Charra sector","Sector-normalized title","https://starwars.fandom.com/wiki/Charra_sector"
"Charros","R9","Taldot","Taldot sector","Sector-normalized title","https://starwars.fandom.com/wiki/Taldot_sector"
"Chazwa","N8","Orus","Orus sector","Sector-normalized title","https://starwars.fandom.com/wiki/Orus_sector"
"Cheelit","I16","Semagi","Semagi sector/Legends","Sector-normalized title","https://starwars.fandom.com/wiki/Semagi_sector%2FLegends"
"Cheku","O15","Brevost","Brevost sector","Sector-normalized title","https://starwars.fandom.com/wiki/Brevost_sector"
"Chenowei","Q5","Gordian Reach","Gordian Reach","Exact title","https://starwars.fandom.com/wiki/Gordian_Reach"
"Chibias","K17","Sombure","Sombure sector","Sector-normalized title","https://starwars.fandom.com/wiki/Sombure_sector"
"Cholganna","T5","Colundra","Colundra sector","Sector-normalized title","https://starwars.fandom.com/wiki/Colundra_sector"
"Chorax","N11","Rachuk sector","Rachuk sector","Exact title","https://starwars.fandom.com/wiki/Rachuk_sector"
"Christophsis","Q16","Savareen","Savareen sector","Sector-normalized title","https://starwars.fandom.com/wiki/Savareen_sector"
"Chryya","M17","Dustig","Dustig sector","Sector-normalized title","https://starwars.fandom.com/wiki/Dustig_sector"
"Cirrus","J6","Dantus","Dantus sector","Sector-normalized title","https://starwars.fandom.com/wiki/Dantus_sector"
"Cirus","R17","Arkanis","Arkanis sector","Sector-normalized title","https://starwars.fandom.com/wiki/Arkanis_sector"
"Ciutric","N5","Ciutric","Ciutric sector","Sector-normalized title","https://starwars.fandom.com/wiki/Ciutric_sector"
"Clantaano","U12","Albanin","Albanin sector","Sector-normalized title","https://starwars.fandom.com/wiki/Albanin_sector"
"Cmaoli Di","M17","Brema","Brema sector","Sector-normalized title","https://starwars.fandom.com/wiki/Brema_sector"
"Coachelle","P10","Terr'skiar","Terr'skiar sector","Sector-normalized title","https://starwars.fandom.com/wiki/Terr'skiar_sector"
"Comkin V","N7","Nouane","Nouane sector","Sector-normalized title","https://starwars.fandom.com/wiki/Nouane_sector"
"Comra","J5","Prefsbelt","Prefsbelt sector","Sector-normalized title","https://starwars.fandom.com/wiki/Prefsbelt_sector"
"Contruum","O8","Truum","Truum sector","Sector-normalized title","https://starwars.fandom.com/wiki/Truum_sector"
"Coonee","O15","Brevost","Brevost sector","Sector-normalized title","https://starwars.fandom.com/wiki/Brevost_sector"
"Copperline","K16","Vatha","Vatha sector","Sector-normalized title","https://starwars.fandom.com/wiki/Vatha_sector"
"Corann","M9","Adari Sector","Adari sector/Legends","Exact title","https://starwars.fandom.com/wiki/Adari_sector%2FLegends"
"Corbett CLuster","I17","Corbett","Corbett sector","Sector-normalized title","https://starwars.fandom.com/wiki/Corbett_sector"
"Corbos","R5","Esstran","Esstran sector","Sector-normalized title","https://starwars.fandom.com/wiki/Esstran_sector"
"Corellia","M11","Corellian sector","Corellian sector","Exact title","https://starwars.fandom.com/wiki/Corellian_sector"
"Corlass","S6","Cronese Mandate","Cronese Mandate","Exact title","https://starwars.fandom.com/wiki/Cronese_Mandate"
"Corsin","M7","Greater Plooriod","Greater Plooriod sector","Sector-normalized title","https://starwars.fandom.com/wiki/Greater_Plooriod_sector"
"Corulag","L9","Bormea sector","Bormea sector","Exact title","https://starwars.fandom.com/wiki/Bormea_sector"
"Coruscant","","Corusca Sector","Corusca sector","Exact title","https://starwars.fandom.com/wiki/Corusca_sector"
"Corva Yag","N20","Rseik","Rseik sector","Sector-normalized title","https://starwars.fandom.com/wiki/Rseik_sector"
"Corvanni IV","N9","Neshig","Neshig sector","Sector-normalized title","https://starwars.fandom.com/wiki/Neshig_sector"
"Corvis Minor","N5","Ciutric","Ciutric sector","Sector-normalized title","https://starwars.fandom.com/wiki/Ciutric_sector"
"Cotellier","N20","Rseik","Rseik sector","Sector-normalized title","https://starwars.fandom.com/wiki/Rseik_sector"
"Council","K18","Anoat","Anoat sector","Sector-normalized title","https://starwars.fandom.com/wiki/Anoat_sector"
"Crait","N17","Grumani","Grumani sector","Sector-normalized title","https://starwars.fandom.com/wiki/Grumani_sector"
"Cranan","R16","Arkanis","Arkanis sector","Sector-normalized title","https://starwars.fandom.com/wiki/Arkanis_sector"
"Criton's Point","K3","Myto","Myto sector","Sector-normalized title","https://starwars.fandom.com/wiki/Myto_sector"
"Crovna","L17","Senex","Senex sector","Sector-normalized title","https://starwars.fandom.com/wiki/Senex_sector"
"Crustai","H8","Chiss Space","Chiss Space","Exact title","https://starwars.fandom.com/wiki/Chiss_Space"
"Cularin","P14","Thaere","Thaere sector","Sector-normalized title","https://starwars.fandom.com/wiki/Thaere_sector"
"Cyimarra","L17","Senex","Senex sector","Sector-normalized title","https://starwars.fandom.com/wiki/Senex_sector"
"Cyphar","L17","Spirva","Spirva sector","Sector-normalized title","https://starwars.fandom.com/wiki/Spirva_sector"
"Cyrillia","O12","Cyrillian Protectorate","Cyrillian Protectorate","Exact title","https://starwars.fandom.com/wiki/Cyrillian_Protectorate"
"D'Qar","O17","Sanbra","Sanbra sector","Sector-normalized title","https://starwars.fandom.com/wiki/Sanbra_sector"
"D'rinba","K17","Sombure","Sombure sector","Sector-normalized title","https://starwars.fandom.com/wiki/Sombure_sector"
"Daalang","Q12","Daalang","Daalang sector","Sector-normalized title","https://starwars.fandom.com/wiki/Daalang_sector"
"Daan/Melida","P17","Cadavine","Cadavine sector/Legends","Sector-normalized title","https://starwars.fandom.com/wiki/Cadavine_sector%2FLegends"
