Planet,Field,Current Database,Official Appendix,Official System Entry
Manforgon,Sector,Juvex,Senex,Manforgon Senex
Mataou,Sector,Anoat,Javin (Anoat),Mataou Javin (Anoat)
Maya Kovel,Sector,Moddell,Zuma (Moddell),Maya Kovel Zuma (Moddell)
Mev,Sector,Anoat,Javin (Anoat),Mev Javin (Anoat)
Mexeluine,Sector,Anoat,Javin (Anoat),Mexeluine Javin (Anoat)
Mijos,Sector,Anoat,Javin (Anoat),Mijos Javin (Anoat)
Mindabaal,Sector,|,Faultheen,Mindabaal Faultheen
Mirial,Sector,I-Sector,Illisurevimurasi,Mirial Illisurevimurasi
Mondress,Sector,Mandress,Mondress,Mondress Mondress
Montitia,Sector,Mintitian Grant,Montitian Grant,Montitia Montitian Grant
Moonus,Sector,Bothan Space,Mandel Bothan,Moonus Mandel Bothan
Morellia,Sector,Morellian Commonwealth,Morellian CW*,Morellia Morellian CW*
Murk,Sector,Moddell,Zuma (Moddell),Murk Zuma (Moddell)
Naboo,Sector,Chommel,Chommell,Naboo Chommell
Naporar,Sector,Chiss Ascendancy,Chiss Space*,Naporar Chiss Space*
Nazzri,Sector,Dona Laza,Lantillian,Nazzri Lantillian
Nedij,Sector,Merel,Samix,Nedij Samix
Nentan,Sector,Clythe,Glythe,Nentan Glythe
Neshtab,Sector,|,Quohag,Neshtab Quohag
Nfolgai,Sector,Sith Worlds,Esstran (Sith Worlds),Nfolgai Esstran (Sith Worlds)
Nicht Ka,Sector,Sith Worlds,Esstran (Sith Worlds),Nicht Ka Esstran (Sith Worlds)
Nigel,Sector,Vish,Kira,Nigel Kira
Noonar,Sector,Halthor,Noonian,Noonar Noonian
Noris,Sector,Chiss Ascendancy,Chiss Space*,Noris Chiss Space*
Nothoiin,Sector,Anoat,Javin (Anoat),Nothoiin Javin (Anoat)
Ool,Sector,Chiss Ascendancy,Chiss Space*,Ool Chiss Space*
Orn Kios,Sector,Yarith,Javin (Yarith),Orn Kios Javin (Yarith)
Ornfra,Sector,Chiss Ascendancy,Chiss Space*,Ornfra Chiss Space*
Ovise,Sector,Moddell,Zuma (Moddell),Ovise Zuma (Moddell)
Oyokal,Sector,Chiss Ascendancy,Chiss Space*,Oyokal Chiss Space*
Pallaxides,Sector,Noonian,Ojoster,Pallaxides Ojoster
Pergitor,Sector,Minos,Minos Cluster,Pergitor Minos Cluster
Perin,Sector,Corporate Sector,Trianii Space*,Perin Trianii Space*
Polmanar,Sector,Anoat,Javin (Anoat),Polmanar Javin (Anoat)
Pusat Station,Sector,Bortele,Halla,Pusat Station Halla
Pypin,Sector,Trianii,Trianii Space*,Pypin Trianii Space*
Qiilura,Sector,Bright Jewel,Qiilura,Qiilura Qiilura
Qina,Sector,Moddell,Zuma (Moddell),Qina Zuma (Moddell)
Quas Killam,Sector,Couronne,Terr'skiar,Quas Killam Terr'skiar
Raxus,Sector,Tion Hegemony,Prime Tion Hegemony,Raxus Prime Tion Hegemony
Rentor,Sector,Chiss Ascendancy,Chiss Space*,Rentor Chiss Space*
Rettna,Sector,Essaga,Esaga,Rettna Esaga
Reuss,Sector,Cor'ric,Portmoak,Reuss Portmoak
Rhelg,Sector,Sith Worlds,Esstran (Sith Worlds),Rhelg Esstran (Sith Worlds)
Rhen Var,Sector,Belderone,Thanium,Rhen Var Thanium
Rhigar,Sector,Chiss Ascendancy,Chiss Space*,Rhigar Chiss Space*
Roldalna,Sector,Vish,Kira,Roldalna Kira
Sagar,Sector,|,Wentrion,Sagar Wentrion
Saila Na,Sector,Anoat,Javin (Anoat),Saila Na Javin (Anoat)
Salient,Sector,Corporate Sector,Aparo,Salient Aparo
Sanyassa,Sector,Moddell,Zuma (Moddell),Sanyassa Zuma (Moddell)
Sarvchi,Sector,Chiss Ascendancy,Chiss Space*,Sarvchi Chiss Space*
Schesa,Sector,Chiss Ascendancy,Chiss Space*,Schesa Chiss Space*
Seltos,Sector,Vish,Mulgard,Seltos Mulgard
Shador,Sector,Maerdocia,Maerdocian,Shador Maerdocian
Sharb,Sector,Chiss Ascendancy,Chiss Space*,Sharb Chiss Space*
Shihon,Sector,Chiss Ascendancy,Chiss Space*,Shihon Chiss Space*
Shuldene,Sector,Yarith,Javin (Yarith),Shuldene Javin (Yarith)
Shuxl,Sector,Yarith,Javin (Yarith),Shuxl Javin (Yarith)
Sikurd,Sector,I-Sector,Tynquay,Sikurd Tynquay
Sil'Lume,Sector,Kriz,Seitia,Sil'Lume Seitia
Siskeen,Sector,Hunnovers,Hunnoverrs,Siskeen Hunnoverrs
Socorro,Sector,Kiblini,Kibilini,Socorro Kibilini
Spintir,Sector,Gordian Reach,Spadja,Spintir Spadja
Sposia,Sector,Chiss Ascendancy,Chiss Space*,Sposia Chiss Space*
Sriluur,Sector,Periphery,Tharin (Periphery),Sriluur Tharin (Periphery)
Svolten,Sector,Sith Worlds,Esstran (Sith Worlds),Svolten Esstran (Sith Worlds)
Symbia,Sector,|,Koros,Symbia Koros
Syned,Sector,Garis,Grumani,Syned Grumani
Tarabba,Sector,Tarabba,Prime Tarabba,Tarabba Prime Tarabba
Tarsunt,Sector,Bothan Space,Bothan,Tarsunt Bothan
Terman,Sector,Hutt Space,Tharin (Periphery),Terman Tharin (Periphery)
Thape,Sector,Xan,Lambda,Thape Lambda
Thearterra,Sector,Chiss Ascendancy,Chiss Space*,Thearterra Chiss Space*
Thila,Sector,I-Sector,Illisurevimurasi,Thila Illisurevimurasi
Thokosia,Sector,Maerdocia,Maerdocian,Thokosia Maerdocian
ThonBoka,Sector,Centrality,Nebula Centrality,ThonBoka Nebula Centrality
Thonner,Sector,Moddell,Zuma (Moddell),Thonner Zuma (Moddell)
Thoran,Sector,Manda,Bothan,Thoran Bothan
Thosa,Sector,Tynquay,Wyl,Thosa Wyl
Tierfon,Sector,Dentari,Sumitra,Tierfon Sumitra
Tinoon,Sector,Anoat,Javin (Anoat),Tinoon Javin (Anoat)
Togominda,Sector,Yarith,Javin (Yarith),Togominda Javin (Yarith)
Tokmia,Sector,Anoat,Javin (Anoat),Tokmia Javin (Anoat)
Torn Station,Sector,Terr'skiar,Mytaranor,Torn Station Mytaranor
Torolis,Sector,Noolian,Bothan,Torolis Bothan
Trian,Sector,Trianii,Trianii Space*,Trian Trianii Space*
Trigalis,Sector,Cadavine,Juris,Trigalis Juris
Trindello,Sector,Moddell,Zuma (Moddell),Trindello Zuma (Moddell)
UR-1060,Sector,Moddell,Zuma (Moddell),UR-1060 Zuma (Moddell)
UR-2650,Sector,Moddell,Zuma (Moddell),UR-2650 Zuma (Moddell)
UR-3741,Sector,Moddell,Zuma (Moddell),UR-3741 Zuma (Moddell)
UR-8827,Sector,Moddell,Zuma (Moddell),UR-8827 Zuma (Moddell)
UR-9353,Sector,Moddell,Zuma (Moddell),UR-9353 Zuma (Moddell)
Urce,Sector,Urce,Urce Space,Urce Urce Space
Vaathkree,Sector,Periphery,Tharin (Periphery),Vaathkree Tharin (Periphery)
Valrar,Sector,Clythe,Glythe,Valrar Glythe
Vasha,Sector,Moddell,Zuma (Moddell),Vasha Zuma (Moddell)
Vendaxa,Sector,Zarracina,Chaykin,Vendaxa Chaykin
Verdanth,Sector,Grumani,Bon'nyuw-Luq,Verdanth Bon'nyuw-Luq
Vex,Sector,Moddell,Zuma (Moddell),Vex Zuma (Moddell)
Void Station,Sector,Dohlbani,Bothan,Void Station Bothan
Vortex,Sector,Clythe,Glythe,Vortex Glythe
Yoribuunt,Sector,Periphery,Tharin,Yoribuunt Tharin
Yutusk,Sector,Sertar,Mortex,Yutusk Mortex
Zephry,Sector,Anoat,Javin (Anoat),Zephry Javin (Anoat)
Zhanox,Sector,Anoat,Javin (Anoat),Zhanox Javin (Anoat)
Ziost,Sector,Sith Worlds,Esstran (Sith Worlds),Ziost Esstran (Sith Worlds)
Zorbia,Sector,Moddell,Zuma (Moddell),Zorbia Zuma (Moddell)
